[2023-09-29 11:15:53.575196] [gNB 3][rsc 0][Rx 0][sfn 904][slot 5] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -58.1 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:15:53.580874] [gNB 0][rsc 0][Rx 0][sfn 905][slot 2] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -56.8 dBm, SNR +4.0 dB, rsrp -80.3 dBm

[2023-09-29 11:15:53.581209] [gNB 1][rsc 0][Rx 0][sfn 905][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -59.3 dBm, SNR -2622080.2 dB, rsrp -83.3 dBm

[2023-09-29 11:15:53.581570] [gNB 2][rsc 0][Rx 0][sfn 905][slot 4] DL PRS ToA ==> 1.0 / 4096 samples, peak channel power -52.9 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:15:53.581991] [gNB 3][rsc 0][Rx 0][sfn 905][slot 5] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -58.1 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:15:53.587482] [gNB 0][rsc 0][Rx 0][sfn 906][slot 2] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -57.0 dBm, SNR -2622080.2 dB, rsrp -81.9 dBm

[2023-09-29 11:15:53.587819] [gNB 1][rsc 0][Rx 0][sfn 906][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -59.2 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 11:15:53.588181] [gNB 2][rsc 0][Rx 0][sfn 906][slot 4] DL PRS ToA ==> 2.5 / 4096 samples, peak channel power -52.1 dBm, SNR +4.0 dB, rsrp +nan dBm

[2023-09-29 11:15:53.588639] [gNB 3][rsc 0][Rx 0][sfn 906][slot 5] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -58.1 dBm, SNR +4.0 dB, rsrp -81.7 dBm

[2023-09-29 11:15:53.594195] [gNB 0][rsc 0][Rx 0][sfn 907][slot 2] DL PRS ToA ==> 8.0 / 4096 samples, peak channel power -57.2 dBm, SNR -2622080.2 dB, rsrp -82.0 dBm

[2023-09-29 11:15:53.594522] [gNB 1][rsc 0][Rx 0][sfn 907][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -59.3 dBm, SNR -2622080.2 dB, rsrp -83.4 dBm

[2023-09-29 11:15:53.594868] [gNB 2][rsc 0][Rx 0][sfn 907][slot 4] DL PRS ToA ==> 1.5 / 4096 samples, peak channel power -50.6 dBm, SNR -2622080.2 dB, rsrp +nan dBm

[2023-09-29 11:15:53.595306] [gNB 3][rsc 0][Rx 0][sfn 907][slot 5] DL PRS ToA ==> 4.0 / 4096 samples, peak channel power -58.3 dBm, SNR -2622080.2 dB, rsrp -82.6 dBm

[2023-09-29 11:15:53.600828] [gNB 0][rsc 0][Rx 0][sfn 908][slot 2] DL PRS ToA ==> 0.0 / 4096 samples, peak channel power -inf dBm, SNR -2622080.2 dB, rsrp -81.8 dBm

[2023-09-29 11:15:53.601180] [gNB 1][rsc 0][Rx 0][sfn 908][slot 3] DL PRS ToA ==> 7.0 / 4096 samples, peak channel power -59.1 dBm, SNR -2622080.2 dB, rsrp -83.1 dBm

