[2023-09-29 10:12:46.112692] [gNB 1][rsc 0][Rx 0][sfn 325][slot 3] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -60.6 dBm, SNR -2622080.2 dB, rsrp -82.8 dBm

[2023-09-29 10:12:46.113030] [gNB 2][rsc 0][Rx 0][sfn 325][slot 4] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -54.5 dBm, SNR -2622080.2 dB, rsrp -80.5 dBm

[2023-09-29 10:12:46.113456] [gNB 3][rsc 0][Rx 0][sfn 325][slot 5] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -58.9 dBm, SNR +4.0 dB, rsrp -81.8 dBm

[2023-09-29 10:12:46.119051] [gNB 0][rsc 0][Rx 0][sfn 326][slot 2] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -52.2 dBm, SNR +4.0 dB, rsrp -78.5 dBm

[2023-09-29 10:12:46.119394] [gNB 1][rsc 0][Rx 0][sfn 326][slot 3] DL PRS ToA ==> -6.5 / 4096 samples, peak channel power -60.7 dBm, SNR -2622080.2 dB, rsrp -82.9 dBm

[2023-09-29 10:12:46.119683] [gNB 2][rsc 0][Rx 0][sfn 326][slot 4] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -54.4 dBm, SNR +4.0 dB, rsrp -80.3 dBm

[2023-09-29 10:12:46.120069] [gNB 3][rsc 0][Rx 0][sfn 326][slot 5] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -59.3 dBm, SNR -2622080.2 dB, rsrp -83.2 dBm

[2023-09-29 10:12:46.125671] [gNB 0][rsc 0][Rx 0][sfn 327][slot 2] DL PRS ToA ==> -7.5 / 4096 samples, peak channel power -52.3 dBm, SNR +4.0 dB, rsrp -78.7 dBm

[2023-09-29 10:12:46.125998] [gNB 1][rsc 0][Rx 0][sfn 327][slot 3] DL PRS ToA ==> -8.5 / 4096 samples, peak channel power -60.4 dBm, SNR -2622080.2 dB, rsrp -82.9 dBm

[2023-09-29 10:12:46.126352] [gNB 2][rsc 0][Rx 0][sfn 327][slot 4] DL PRS ToA ==> -8.0 / 4096 samples, peak channel power -54.6 dBm, SNR +4.0 dB, rsrp -80.6 dBm

